"Latitude (decimal degrees):	42.088",,,,,,
"Longitude (decimal degrees):	2.816",,,,,,
"Elevation (m):	99",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	1.0",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20230105:0510,0,0,0,5.06,1.93,0
20230105:0610,0,0,0,4.97,2,0
20230105:0710,0,0,0,4.85,2.07,0
20230105:0810,206.32,257.73,7.26,5.09,1.86,0
20230105:0910,420.25,516.41,15.08,7.66,1.24,0
20230105:1010,533.42,687.28,21.01,11.77,0.69,0
20230105:1110,593.63,789.86,24.51,13.54,0.48,0
20230105:1210,600.18,799.86,25.18,14.28,0.69,0
20230105:1310,568.25,749.33,22.92,14.68,0.83,0
20230105:1410,461.43,592.47,18.02,14.73,0.97,0
20230105:1510,309.61,394.57,10.99,14.41,1.03,0
20230105:1610,0.99,8.15,2.37,13.47,1.17,0
20230105:1710,0,0,0,12.14,1.45,0
20230105:1810,0,0,0,10.9,1.72,0
20230105:1910,0,0,0,10.12,2.14,0
20230105:2010,0,0,0,8.92,2.14,0
20230105:2110,0,0,0,7.7,2,0
20230105:2210,0,0,0,6.82,1.86,0
20230105:2310,0,0,0,6.23,1.79,0
20230106:0010,0,0,0,5.83,1.79,0
20230106:0110,0,0,0,5.44,1.86,0
20230106:0210,0,0,0,5.15,1.86,0
20230106:0310,0,0,0,4.98,1.86,0
20230106:0410,0,0,0,4.98,1.93,0
20230106:0510,0,0,0,5.12,2,0
20230106:0610,0,0,0,5.36,2.07,0
20230106:0710,0,0,0,5.76,2.34,0
20230106:0810,213.06,266.44,7.29,5.73,2.07,0
20230106:0910,415.99,510.29,15.13,7.43,1.24,0
20230106:1010,442.62,557.44,21.08,11.34,0.76,0
20230106:1110,548.11,713.91,24.61,12.66,0.62,0
20230106:1210,571.72,750.53,25.3,13.37,0.76,0
20230106:1310,569.02,743.4,23.06,13.78,1.03,0
20230106:1410,461.67,587.17,18.17,13.87,1.31,0
20230106:1510,319.76,403.7,11.14,13.52,1.66,0
20230106:1610,1.41,9.05,2.52,12.43,1.72,0
20230106:1710,0,0,0,11.17,1.52,0
20230106:1810,0,0,0,9.85,1.03,0
20230106:1910,0,0,0,9.98,0.62,0
20230106:2010,0,0,0,8.49,1.1,0
20230106:2110,0,0,0,7.07,1.52,0
20230106:2210,0,0,0,6.43,1.72,0
20230106:2310,0,0,0,5.85,1.79,0
20230107:0010,0,0,0,5.5,1.86,0
20230107:0110,0,0,0,5.32,2,0
20230107:0210,0,0,0,5.4,2.14,0
20230107:0310,0,0,0,4.95,2.34,0
20230107:0410,0,0,0,4.58,2.41,0
20230107:0510,0,0,0,4.4,2.48,0
20230107:0610,0,0,0,4.35,2.76,0
20230107:0710,0,0,0,4.23,3.1,0
20230107:0810,234.85,289.57,7.33,4.44,3.17,0
20230107:0910,454.6,547.85,15.18,6.47,3.1,0
20230107:1010,576.76,712.13,21.16,9.52,3.45,0
20230107:1110,638.89,803.96,24.72,12.14,4,0
20230107:1210,651.41,822.64,25.43,13.77,4.69,0
20230107:1310,599.99,753.2,23.2,14.59,4.83,0
20230107:1410,499.04,619.55,18.32,14.75,4.76,0
20230107:1510,335.65,417.77,11.3,14.21,4.55,0
20230107:1610,2.3,10.86,2.67,12.94,4.14,0
20230107:1710,0,0,0,11.08,3.66,0
20230107:1810,0,0,0,9.71,3.24,0
20230107:1910,0,0,0,8.42,2.48,0
20230107:2010,0,0,0,7.41,2.69,0
20230107:2110,0,0,0,6.83,2.97,0
20230107:2210,0,0,0,6.63,3.1,0
20230107:2310,0,0,0,6.56,3.38,0
20230108:0010,0,0,0,7.07,3.93,0
20230108:0110,0,0,0,8.38,4.28,0
20230108:0210,0,0,0,9.5,4.14,0
20230108:0310,0,0,0,9.83,3.86,0
20230108:0410,0,0,0,10.01,3.59,0
20230108:0510,0,0,0,9.76,3.38,0
20230108:0610,0,0,0,9.35,3.1,0
20230108:0710,0,0,0,10.02,3.52,0
20230108:0810,67.54,96.49,7.37,9.84,2.97,0
20230108:0910,79.6,110.02,15.25,10.77,2.41,0
20230108:1010,113.6,150.46,21.25,12.08,2.83,0
20230108:1110,180.03,227.9,24.83,12.85,3.59,0
20230108:1210,221.04,275.34,25.57,13.3,4.62,0
20230108:1310,129.87,169.77,23.35,13.57,5.1,0
20230108:1410,118.21,156.1,18.48,14.13,5.86,0
20230108:1510,72.42,102.8,11.46,14.52,6.21,0
20230108:1610,0.59,7.24,2.83,14.25,6.07,0
20230108:1710,0,0,0,13.53,4.62,0
20230108:1810,0,0,0,13.07,2.97,0
20230108:1910,0,0,0,12.27,2.76,0
20230108:2010,0,0,0,11.65,2,0
20230108:2110,0,0,0,10.71,1.86,0
20230108:2210,0,0,0,9.72,1.93,0
20230108:2310,0,0,0,8.9,1.79,0
20230109:0010,0,0,0,8.46,1.59,0
20230109:0110,0,0,0,8.43,1.45,0
20230109:0210,0,0,0,8.63,1.66,0
20230109:0310,0,0,0,9.05,1.86,0
20230109:0410,0,0,0,9.32,1.86,0
20230109:0510,0,0,0,9.18,1.52,0
20230109:0610,0,0,0,9.06,1.38,0
20230109:0710,0,0,0,8.93,1.31,0
20230109:0810,204.89,260.76,7.42,8.54,1.45,0
20230109:0910,409.31,510.61,15.32,9.43,0.62,0
20230109:1010,545.43,697.41,21.35,10.57,0.9,0
20230109:1110,603.64,778.58,24.95,11.05,1.38,0
20230109:1210,609.35,776.39,25.71,11.32,2.28,0
20230109:1310,553.42,696.67,23.51,11.51,2.34,0
20230109:1410,294.26,362.13,18.65,11.17,1.93,0
20230109:1510,344.14,428.82,11.62,11.03,1.79,0
20230109:1610,3.84,13.58,3,9.94,1.66,0
20230109:1710,0,0,0,8.79,1.1,0
20230109:1810,0,0,0,8.16,1.24,0
20230109:1910,0,0,0,7.62,0.9,0
20230109:2010,0,0,0,7.32,1.31,0
20230109:2110,0,0,0,6.46,1.31,0
20230109:2210,0,0,0,7.1,0.9,0
20230109:2310,0,0,0,7.85,0.55,0
20230110:0010,0,0,0,5.58,1.93,0
20230110:0110,0,0,0,6.03,2.07,0
20230110:0210,0,0,0,6.41,2.41,0
20230110:0310,0,0,0,6.6,2.28,0
20230110:0410,0,0,0,6.54,2.28,0
20230110:0510,0,0,0,6.42,2.21,0
20230110:0610,0,0,0,6.12,2.21,0
20230110:0710,0,0,0,5.32,2,0
20230110:0810,207.97,260.36,7.48,5.27,1.66,0
20230110:0910,421.2,520.7,15.4,8.16,0.97,0
20230110:1010,543.86,699.07,21.45,10.88,0.69,0
20230110:1110,529.44,675.51,25.08,11.79,1.24,0
20230110:1210,575.43,736.92,25.86,12.38,1.86,0
20230110:1310,556.36,706.3,23.68,12.78,2.28,0
20230110:1410,489.4,614.22,18.82,12.78,2.28,0
20230110:1510,316.12,395.09,11.8,12.62,2.21,0
20230110:1610,4.31,14.48,3.17,11.98,2,0
20230110:1710,0,0,0,10.73,2.21,0
20230110:1810,0,0,0,9.71,2.28,0
20230110:1910,0,0,0,8.7,2.21,0
20230110:2010,0,0,0,7.6,2.07,0
20230110:2110,0,0,0,6.62,2,0
20230110:2210,0,0,0,5.91,1.93,0
20230110:2310,0,0,0,5.49,1.93,0
20230111:0010,0,0,0,5.06,2,0
20230111:0110,0,0,0,4.66,1.93,0
20230111:0210,0,0,0,4.26,1.93,0
20230111:0310,0,0,0,4,1.93,0
20230111:0410,0,0,0,3.86,2,0
20230111:0510,0,0,0,3.88,2.07,0
20230111:0610,0,0,0,3.99,2.14,0
20230111:0710,0,0,0,4.27,2.28,0
20230111:0810,155.45,196.94,7.54,4.41,2.14,0
20230111:0910,359.98,437.79,15.48,7.47,1.59,0
20230111:1010,509.79,648.58,21.56,11.56,1.03,0
20230111:1110,393.34,498.44,25.22,13.82,0.76,0
20230111:1210,315.46,397.86,26.02,14.58,1.03,0
20230111:1310,259.25,326.75,23.85,14.84,1.52,0
20230111:1410,180.16,230.96,18.99,14.97,1.79,0
20230111:1510,261.83,332.58,11.97,14.84,1.45,0
20230111:1610,25.39,47.29,3.34,14.02,0.28,0
20230111:1710,0,0,0,12.81,0,0
20230111:1810,0,0,0,11.67,1.1,0
20230111:1910,0,0,0,10.82,2.34,0
20230111:2010,0,0,0,9.93,2.21,0
20230111:2110,0,0,0,9.35,2.28,0
20230111:2210,0,0,0,8.27,2,0
20230111:2310,0,0,0,7.32,1.79,0
20230112:0010,0,0,0,6.54,1.79,0
20230112:0110,0,0,0,5.93,1.86,0
20230112:0210,0,0,0,5.33,1.72,0
20230112:0310,0,0,0,4.85,1.79,0
20230112:0410,0,0,0,4.46,1.79,0
20230112:0510,0,0,0,4.17,1.72,0
20230112:0610,0,0,0,3.88,1.72,0
20230112:0710,0,0,0,3.86,1.72,0
20230112:0810,241.66,299.31,7.61,4.02,1.72,0
20230112:0910,425.08,519.38,15.57,6.25,1.17,0
20230112:1010,543.02,692.65,21.68,10.23,0.9,0
20230112:1110,601.08,799.4,25.36,11.58,0.14,0
20230112:1210,626.49,820.61,26.18,12.57,1.38,0
20230112:1310,591.74,760.98,24.02,13,2,0
20230112:1410,495.86,627.63,19.18,13.22,1.86,0
20230112:1510,317.71,398.33,12.15,13.11,2,0
20230112:1610,59.25,92.23,3.52,12.1,1.86,0
20230112:1710,0,0,0,10.78,1.66,0
20230112:1810,0,0,0,9.82,1.45,0
20230112:1910,0,0,0,8.83,1.17,0
20230112:2010,0,0,0,7.91,1.31,0
20230112:2110,0,0,0,7.08,1.59,0
20230112:2210,0,0,0,6.55,1.66,0
20230112:2310,0,0,0,6.05,1.59,0
20230113:0010,0,0,0,5.65,1.72,0
20230113:0110,0,0,0,5.88,1.86,0
20230113:0210,0,0,0,6.24,2,0
20230113:0310,0,0,0,6.65,1.93,0
20230113:0410,0,0,0,6.29,1.86,0
20230113:0510,0,0,0,5.59,1.86,0
20230113:0610,0,0,0,5.13,1.93,0
20230113:0710,0,0,0,5.23,2,0
20230113:0810,24.53,42.47,7.68,5.39,1.79,0
20230113:0910,69.59,96.97,15.67,6.96,1.38,0
20230113:1010,571.32,733.1,21.8,9.98,0.9,0
20230113:1110,452.15,573.45,25.51,12.71,0.97,0
20230113:1210,625.39,824.8,26.35,13.76,1.38,0
20230113:1310,592.35,771.79,24.21,14.62,1.79,0
20230113:1410,509.13,653.94,19.36,14.9,1.66,0
20230113:1510,333.96,425.93,12.34,14.83,1.03,0
20230113:1610,58.27,91.47,3.7,13.99,0.97,0
20230113:1710,0,0,0,11.54,1.03,0
20230113:1810,0,0,0,11.63,0.69,0
20230113:1910,0,0,0,12.19,0.41,0
20230113:2010,0,0,0,11.66,0.97,0
20230113:2110,0,0,0,9.05,1.38,0
20230113:2210,0,0,0,7.42,1.72,0
20230113:2310,0,0,0,6.41,1.93,0
20230114:0010,0,0,0,5.85,2,0
20230114:0110,0,0,0,5.44,2,0
20230114:0210,0,0,0,4.91,1.93,0
20230114:0310,0,0,0,4.7,1.86,0
20230114:0410,0,0,0,4.35,1.93,0
20230114:0510,0,0,0,3.81,1.93,0
20230114:0610,0,0,0,3.42,1.93,0
20230114:0710,0,0,0,3.49,2.48,0
20230114:0810,99.85,132.03,7.77,4.35,2.55,0
20230114:0910,358.42,432.04,15.78,6.84,2.34,0
20230114:1010,527.8,655.65,21.94,10.13,2.48,0
20230114:1110,628.52,808.08,25.67,12.51,2.41,0
20230114:1210,642.14,843.38,26.53,14.32,2,0
20230114:1310,583.02,765.57,24.4,15.52,1.52,0
20230114:1410,516.27,674.88,19.56,16.02,1.03,0
20230114:1510,346.8,443.15,12.53,15.43,1.24,0
20230114:1610,65.36,100.4,3.89,13.87,1.31,0
20230114:1710,0,0,0,11.81,0.62,0
20230114:1810,0,0,0,11.25,0.55,0
20230114:1910,0,0,0,8.85,1.03,0
20230114:2010,0,0,0,7.11,1.52,0
20230114:2110,0,0,0,6.24,1.72,0
20230114:2210,0,0,0,5.88,1.86,0
20230114:2310,0,0,0,5.86,2,0
20230115:0010,0,0,0,5.92,2.07,0
20230115:0110,0,0,0,5.81,2.14,0
20230115:0210,0,0,0,5.47,2.14,0
20230115:0310,0,0,0,5.35,2.21,0
20230115:0410,0,0,0,5.38,2.21,0
20230115:0510,0,0,0,5.46,2.14,0
20230115:0610,0,0,0,5.22,2.07,0
20230115:0710,0,0,0,5.6,1.93,0
20230115:0810,68.45,96.04,7.86,5.66,1.86,0
20230115:0910,337.06,411.03,15.89,7.76,1.31,0
20230115:1010,581.57,743.61,22.07,10.95,1.52,0
20230115:1110,655.98,851.76,25.83,12.04,2.07,0
20230115:1210,630.37,817.43,26.71,12.69,2,0
20230115:1310,382.84,478.29,24.59,13.19,1.66,0
20230115:1410,25.14,44.46,19.75,13.09,1.72,0
20230115:1510,54.99,81.33,12.73,11.99,2.41,0
20230115:1610,5.88,17.03,4.08,10.6,2.55,0
20230115:1710,0,0,0,9.26,3.03,0
20230115:1810,0,0,0,8.47,3.17,0
20230115:1910,0,0,0,7.81,3.17,0
20230115:2010,0,0,0,7.34,2.48,0
20230115:2110,0,0,0,6.89,1.31,0
20230115:2210,0,0,0,6.55,0.21,0
20230115:2310,0,0,0,5.89,0.69,0
20230116:0010,0,0,0,5.72,1.24,0
20230116:0110,0,0,0,5.83,1.59,0
20230116:0210,0,0,0,6.29,2.62,0
20230116:0310,0,0,0,6.87,4.28,0
20230116:0410,0,0,0,6.85,5.24,0
20230116:0510,0,0,0,6.34,5.17,0
20230116:0610,0,0,0,6,5.1,0
20230116:0710,0,0,0,6.38,6.07,0
20230116:0810,66.71,93.85,7.95,6.44,5.79,0
20230116:0910,229.32,276.94,16.01,7.43,5.1,0
20230116:1010,477.88,575.66,22.22,8.44,4.14,0
20230116:1110,611.93,755.81,26,9.58,4,0
20230116:1210,520.76,638.13,26.9,10.83,4.21,0
20230116:1310,202.49,252.99,24.79,11.75,3.38,0
20230116:1410,124.7,163.57,19.96,12.16,2.07,0
20230116:1510,209.54,264.72,12.93,12.05,1.1,0
20230116:1610,98.83,142.23,4.27,11.46,0.21,0
20230116:1710,0,0,0,9.71,0.69,0
20230116:1810,0,0,0,9.82,0.34,0
20230116:1910,0,0,0,7.57,1.38,0
20230116:2010,0,0,0,6.65,1.72,0
20230116:2110,0,0,0,6.45,1.66,0
20230116:2210,0,0,0,6.93,1.52,0
20230116:2310,0,0,0,7.44,1.52,0
20230117:0010,0,0,0,7.4,1.66,0
20230117:0110,0,0,0,8.16,2.41,0
20230117:0210,0,0,0,9.44,4.48,0
20230117:0310,0,0,0,9.72,5.24,0
20230117:0410,0,0,0,9.65,4.69,0
20230117:0510,0,0,0,9.55,4.41,0
20230117:0610,0,0,0,9.3,3.72,0
20230117:0710,0,0,0,8.09,1.1,0
20230117:0810,240.66,303.26,8.05,7.37,1.38,0
20230117:0910,260.94,320.68,16.13,8.96,1.24,0
20230117:1010,92.34,125.21,22.37,10.24,1.24,0
20230117:1110,31.33,52.03,26.18,10.89,1.38,0
20230117:1210,235,294.15,27.1,11.51,1.03,0
20230117:1310,18.84,35.95,25,12.08,0.83,0
20230117:1410,496.13,624.45,20.17,12.19,1.86,0
20230117:1510,58.28,84.95,13.13,10.84,2,0
20230117:1610,110.71,155.09,4.47,9.28,1.72,0
20230117:1710,0,0,0,7.43,1.24,0
20230117:1810,0,0,0,7.09,0.97,0
20230117:1910,0,0,0,7.16,0.69,0
20230117:2010,0,0,0,5.37,1.24,0
20230117:2110,0,0,0,3.31,2.14,0
20230117:2210,0,0,0,3.1,2.48,0
20230117:2310,0,0,0,2.67,2.55,0
20230118:0010,0,0,0,2.7,2.34,0
20230118:0110,0,0,0,1.71,2.14,0
20230118:0210,0,0,0,1.01,1.72,0
20230118:0310,0,0,0,0.36,1.52,0
20230118:0410,0,0,0,0.32,1.31,0
20230118:0510,0,0,0,0.75,1.31,0
20230118:0610,0,0,0,1.1,1.59,0
20230118:0710,0,0,0,2.14,2.41,0
20230118:0810,100.74,132.17,8.16,2.67,2.07,0
20230118:0910,203.61,247.11,16.27,4.19,1.66,0
20230118:1010,277.76,334.4,22.53,6.08,2.07,0
20230118:1110,607.78,754.39,26.36,7.19,2.55,0
20230118:1210,203.48,251.45,27.3,7.75,1.93,0
20230118:1310,137.03,175.84,25.21,8.55,1.66,0
20230118:1410,347.67,426.19,20.38,9.07,1.24,0
20230118:1510,372.07,464.54,13.34,9.26,0.62,0
20230118:1610,136.17,186.47,4.67,8.57,0.97,0
20230118:1710,0,0,0,6.87,1.93,0
20230118:1810,0,0,0,5.69,2.55,0
20230118:1910,0,0,0,5.58,2.62,0
20230118:2010,0,0,0,4.79,2.76,0
20230118:2110,0,0,0,4.24,2.97,0
20230118:2210,0,0,0,3.8,2.97,0
20230118:2310,0,0,0,3.46,2.28,0
20230119:0010,0,0,0,2.85,1.86,0
20230119:0110,0,0,0,1.87,1.72,0
20230119:0210,0,0,0,1.01,1.72,0
20230119:0310,0,0,0,0.43,1.86,0
20230119:0410,0,0,0,-0.04,1.86,0
20230119:0510,0,0,0,-0.28,1.86,0
20230119:0610,0,0,0,-0.63,1.86,0
20230119:0710,0,0,0,-0.27,2.21,0
20230119:0810,263.09,318.46,8.27,0,2.14,0
20230119:0910,471.79,567.97,16.4,2.73,1.52,0
20230119:1010,584.02,740.52,22.7,6.99,0.83,0
20230119:1110,649.6,859.36,26.56,8.47,0.28,0
20230119:1210,682.16,891.69,27.51,9.35,1.38,0
20230119:1310,648.46,832.26,25.43,9.86,1.93,0
20230119:1410,542.3,678.01,20.6,10.11,2.21,0
20230119:1510,380.01,469.42,13.55,10,2.14,0
20230119:1610,139.89,190.82,4.88,9.26,1.72,0
20230119:1710,0,0,0,7.8,2.14,0
20230119:1810,0,0,0,6.74,2.83,0
20230119:1910,0,0,0,6.93,4.21,0
20230119:2010,0,0,0,6.31,4.76,0
20230119:2110,0,0,0,6.44,5.24,0
20230119:2210,0,0,0,6.44,5.03,0
20230119:2310,0,0,0,6.1,3.72,0
20230120:0010,0,0,0,5.25,3.1,0
20230120:0110,0,0,0,4.48,5.59,0
20230120:0210,0,0,0,3.57,6.14,0
20230120:0310,0,0,0,3.13,5.17,0
20230120:0410,0,0,0,2.92,4.48,0
20230120:0510,0,0,0,3.01,4.28,0
20230120:0610,0,0,0,3.33,4.76,0
20230120:0710,0,0,0,3.43,5.59,0
20230120:0810,257.56,312.99,8.39,3.54,5.31,0
20230120:0910,477.72,566.46,16.55,4.69,4.34,0
20230120:1010,610.38,738.17,22.87,6.17,4.28,0
20230120:1110,688.04,851.34,26.75,7.73,4.21,0
20230120:1210,711.18,889.07,27.73,8.9,4.28,0
20230120:1310,670.44,836.75,25.66,9.68,4.07,0
20230120:1410,554.55,682.25,20.82,9.93,3.72,0
20230120:1510,390.19,478.29,13.77,9.74,3.03,0
20230120:1610,147.56,199.22,5.08,8.86,2.41,0
20230120:1710,0,0,0,7.16,2.34,0
20230120:1810,0,0,0,5.83,2.34,0
20230120:1910,0,0,0,4.49,2.97,0
20230120:2010,0,0,0,3.5,3.1,0
20230120:2110,0,0,0,2.74,3.17,0
20230120:2210,0,0,0,2.23,3.38,0
20230120:2310,0,0,0,1.88,3.59,0
20230121:0010,0,0,0,1.54,3.72,0
20230121:0110,0,0,0,1.3,3.86,0
20230121:0210,0,0,0,1.2,3.86,0
20230121:0310,0,0,0,1.16,3.93,0
20230121:0410,0,0,0,1.06,4,0
20230121:0510,0,0,0,1.09,4.28,0
20230121:0610,0,0,0,1.22,4.41,0
20230121:0710,0,0,0,1.65,4.62,0
20230121:0810,271.1,327.47,8.52,2.22,4.83,0
20230121:0910,488.55,577.63,16.7,3.96,4.41,0
20230121:1010,622.77,748.91,23.05,5.66,4.83,0
20230121:1110,705.73,856.34,26.96,6.83,5.93,0
20230121:1210,739.1,901.12,27.95,7.55,6.41,0
20230121:1310,689.34,831.72,25.89,7.92,6.97,0
20230121:1410,587.19,699.43,21.05,7.82,7.03,0
20230121:1510,414.06,493.45,13.99,7.37,6.14,0
20230121:1610,166.23,217.91,5.29,6.54,6.14,0
20230121:1710,0,0,0,5.33,5.93,0
20230121:1810,0,0,0,4.39,5.79,0
20230121:1910,0,0,0,3.79,6.21,0
20230121:2010,0,0,0,3.4,6.55,0
20230121:2110,0,0,0,3.06,6.69,0
20230121:2210,0,0,0,2.86,6.62,0
20230121:2310,0,0,0,2.71,6.48,0
20230122:0010,0,0,0,2.51,6.07,0
20230122:0110,0,0,0,2.26,5.52,0
20230122:0210,0,0,0,1.92,4.9,0
20230122:0310,0,0,0,1.47,4.28,0
20230122:0410,0,0,0,1.01,3.79,0
20230122:0510,0,0,0,0.71,3.79,0
20230122:0610,0,0,0,0.53,3.66,0
20230122:0710,0,0,0,1.03,4.62,0
20230122:0810,284.12,342.29,8.65,1.49,4.34,0
20230122:0910,477.42,564.39,16.86,3.06,3.66,0
20230122:1010,568.51,680.92,23.23,4.86,4,0
20230122:1110,687.35,845.74,27.17,6.4,4.07,0
20230122:1210,611.32,743.49,28.18,7.28,4.48,0
20230122:1310,557.38,671.23,26.12,7.6,4.9,0
20230122:1410,551.97,662.14,21.28,7.6,5.24,0
20230122:1510,186.14,228.16,14.21,6.92,5.24,0
20230122:1610,49.58,75.03,5.51,5.42,5.45,0
20230122:1710,0,0,0,3.86,5.52,0
20230122:1810,0,0,0,3.08,5.24,0
20230122:1910,0,0,0,2.26,6,0
20230122:2010,0,0,0,1.91,5.79,0
20230122:2110,0,0,0,1.68,5.59,0
20230122:2210,0,0,0,1.44,5.17,0
20230122:2310,0,0,0,1.36,4.62,0
20230123:0010,0,0,0,1.33,4.34,0
20230123:0110,0,0,0,1.2,4.21,0
20230123:0210,0,0,0,1.03,3.93,0
20230123:0310,0,0,0,0.66,3.79,0
20230123:0410,0,0,0,0.42,3.72,0
20230123:0510,0,0,0,0.25,3.59,0
20230123:0610,0,0,0,0.05,3.52,0
20230123:0710,0,0,0,-0.04,3.03,0
20230123:0810,124.71,157.46,8.79,-0.02,3.1,0
20230123:0910,471.37,556.36,17.02,2,3.1,0
20230123:1010,172.12,210.28,23.42,3.73,3.66,0
20230123:1110,686.86,844.78,27.38,5.39,3.66,0
